function,n_dim,sigma,a,run,seed,f_best,evals,time_s
Quadratic,10,1.0,100,3,1003,1.6004884449988432,235,0.002000093460083008
Quadratic,10,1.0,100,4,1004,2.211395546553963,124,0.0019996166229248047
Quadratic,10,1.0,100,5,1005,2.4799103653530437,141,0.0009999275207519531
Quadratic,10,1.0,100,6,1006,1.8521476171138365,130,0.0010004043579101562
Quadratic,10,1.0,100,7,1007,2.232966702135134,144,0.002001523971557617
Quadratic,10,1.0,100,8,1008,2.4209042377248515,204,0.00400090217590332
Quadratic,10,1.0,100,9,1009,3.2044483728874518,169,0.0019979476928710938
Quadratic,10,10.0,10,0,1000,55.50078862399194,52,0.00099945068359375
Quadratic,10,10.0,10,1,1001,58.64025905510545,135,0.0019991397857666016
Quadratic,10,10.0,10,2,1002,4.733053216127768e-06,1001,0.014507770538330078
Quadratic,10,10.0,10,3,1003,8.814780525122526e-08,1001,0.018096208572387695
Quadratic,10,10.0,10,4,1004,5.893752637788754e-09,1001,0.027998685836791992
Quadratic,10,10.0,10,5,1005,1.4368240540799762e-06,834,0.020533323287963867
Quadratic,10,10.0,10,6,1006,1.5722334991639526e-07,1001,0.029309988021850586
Quadratic,10,10.0,10,7,1007,14.4407295584034,121,0.0020220279693603516
Quadratic,10,10.0,10,8,1008,2.3584932328160695e-07,1001,0.019985198974609375
Quadratic,10,10.0,10,9,1009,4.610822703054398,179,0.004992008209228516
Quadratic,10,10.0,100,0,1000,55.50078862399194,52,0.0009982585906982422
Quadratic,10,10.0,100,1,1001,288.61556085481254,52,0.0010039806365966797
Quadratic,10,10.0,100,2,1002,113.22352340595613,161,0.00498509407043457
Quadratic,10,10.0,100,3,1003,240.51750545330393,53,0.0010020732879638672
Quadratic,10,10.0,100,4,1004,133.7643052502967,89,0.0009982585906982422
Quadratic,10,10.0,100,5,1005,160.21540208266126,52,0.0
Quadratic,10,10.0,100,6,1006,148.45415375695572,70,0.0010013580322265625
Quadratic,10,10.0,100,7,1007,95.30501924343022,151,0.001997232437133789
Quadratic,10,10.0,100,8,1008,152.95634328322194,52,0.0010001659393310547
Quadratic,10,10.0,100,9,1009,184.74590088023788,71,0.0010001659393310547
Quadratic,30,0.1,10,0,1000,3.3495345024812516e-10,3001,0.12083125114440918
Quadratic,30,0.1,10,1,1001,3.575846927219158e-11,3001,0.03600168228149414
Quadratic,30,0.1,10,2,1002,1.5485842317424017e-11,3001,0.027047157287597656
Quadratic,30,0.1,10,3,1003,4.143432711781943e-09,3001,0.02817678451538086
