function,n_dim,sigma,a,run,seed,f_best,evals,time_s
Ackley,30,10.0,10,6,1006,5.591559053852748,3001,0.059981584548950195
Ackley,30,10.0,10,7,1007,10.603785688162676,3001,0.055619001388549805
Ackley,30,10.0,10,8,1008,7.800743565840168,3001,0.048999786376953125
Ackley,30,10.0,10,9,1009,9.08588731526789,3001,0.04700660705566406
Ackley,30,10.0,100,0,1000,11.902598983104067,152,0.0029964447021484375
Ackley,30,10.0,100,1,1001,14.227868445841713,152,0.002506256103515625
Ackley,30,10.0,100,2,1002,13.85594885126145,184,0.0029997825622558594
Ackley,30,10.0,100,3,1003,15.372868924511891,180,0.003000020980834961
Ackley,30,10.0,100,4,1004,14.110120667429937,152,0.0030052661895751953
Ackley,30,10.0,100,5,1005,14.594570647329592,152,0.00299835205078125
Ackley,30,10.0,100,6,1006,14.843385255418427,152,0.002000093460083008
Ackley,30,10.0,100,7,1007,14.156306002086163,152,0.002999544143676758
Ackley,30,10.0,100,8,1008,14.323728859518564,152,0.0030002593994140625
Ackley,30,10.0,100,9,1009,14.673248379810747,152,0.0019998550415039062
